disciplina_id;gran_area_codigo;gran_area_descripcion;area_codigo;area_descripcion;disciplina_codigo;disciplina_descripcion
123;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.2;Medicina Clínica  ;3.2.3;Pediatría
124;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.2;Medicina Clínica  ;3.2.4;Sistemas Cardíaco y Cardiovascular
125;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.2;Medicina Clínica  ;3.2.5;Enfermedades Vasculares Periféricas
126;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.2;Medicina Clínica  ;3.2.6;Hematología
127;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.2;Medicina Clínica  ;3.2.7;Sistema Respiratorio
128;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.2;Medicina Clínica  ;3.2.8;Medicina Critica y de Emergencia
129;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.2;Medicina Clínica  ;3.2.9;Anestesiología
130;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.2;Medicina Clínica  ;3.2.10;Ortopedia
131;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.2;Medicina Clínica  ;3.2.11;Cirugía
132;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.2;Medicina Clínica  ;3.2.12;Radiología, Medicina Nuclear y Diagnóstico por Imágenes
133;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.2;Medicina Clínica  ;3.2.13;Transplantes
